"","V1","V2"
"232","Fleetwood Mac","Ram Jam"
"233","Fleetwood Mac","Rose Royce"
"234","Fleetwood Mac","Shocking Blue"
"235","Fleetwood Mac","Supertramp"
"236","Fleetwood Mac","Kansas"
"237","Fleetwood Mac","Lipps, Inc."
"238","Electric Light Orchestra","Led Zeppelin"
"239","Electric Light Orchestra","Ram Jam"
"240","Electric Light Orchestra","Rose Royce"
"241","Electric Light Orchestra","Shocking Blue"
"242","Electric Light Orchestra","Supertramp"
"243","Electric Light Orchestra","Kansas"
"244","Electric Light Orchestra","Lipps, Inc."
"245","Led Zeppelin","Ram Jam"
"246","Led Zeppelin","Rose Royce"
"247","Led Zeppelin","Shocking Blue"
"248","Led Zeppelin","Supertramp"
"249","Led Zeppelin","Kansas"
"250","Led Zeppelin","Lipps, Inc."
"251","Ram Jam","Rose Royce"
"252","Ram Jam","Shocking Blue"
"253","Ram Jam","Supertramp"
"254","Ram Jam","Kansas"
"255","Ram Jam","Lipps, Inc."
"256","Rose Royce","Shocking Blue"
"257","Rose Royce","Supertramp"
"258","Rose Royce","Kansas"
"259","Rose Royce","Lipps, Inc."
"260","Shocking Blue","Supertramp"
"261","Shocking Blue","Kansas"
"262","Shocking Blue","Lipps, Inc."
"263","Supertramp","Kansas"
"264","Supertramp","Lipps, Inc."
"265","Kansas","Lipps, Inc."
"266","A Flock of Seagulls","Duran Duran"
"267","A Flock of Seagulls","INXS"
"268","A Flock of Seagulls","Max Q"
"269","A Flock of Seagulls","Tears for Fears"
"270","A Flock of Seagulls","The Smiths"
"271","A Flock of Seagulls","Depeche Mode"
"272","A Flock of Seagulls","Donny Osmond"
"273","A Flock of Seagulls","Lipps, Inc."
"274","A Flock of Seagulls","Queen"
"275","A Flock of Seagulls","Talking Heads"
"276","A Flock of Seagulls","Toto"
"277","A Flock of Seagulls","A Certain Ratio"
"278","A Flock of Seagulls","Chicago"
"279","A Flock of Seagulls","David Bowie"
"280","A Flock of Seagulls","DJ Jazzy Jeff & The Fresh Prince"
"281","Duran Duran","INXS"
"282","Duran Duran","Max Q"
"283","Duran Duran","Tears for Fears"
"284","Duran Duran","The Smiths"
"285","Duran Duran","Depeche Mode"
"286","Duran Duran","Donny Osmond"
"287","Duran Duran","Lipps, Inc."
"288","Duran Duran","Queen"
"289","Duran Duran","Talking Heads"
"290","Duran Duran","Toto"
"291","Duran Duran","A Certain Ratio"
"292","Duran Duran","Chicago"
"293","Duran Duran","David Bowie"
"294","Duran Duran","DJ Jazzy Jeff & The Fresh Prince"
"295","INXS","Max Q"
"296","INXS","Tears for Fears"
"297","INXS","The Smiths"
"298","INXS","Depeche Mode"
"299","INXS","Donny Osmond"
"300","INXS","Lipps, Inc."
"301","INXS","Queen"
"302","INXS","Talking Heads"
"303","INXS","Toto"
"304","INXS","A Certain Ratio"
"305","INXS","Chicago"
"306","INXS","David Bowie"
"307","INXS","DJ Jazzy Jeff & The Fresh Prince"
"308","Max Q","Tears for Fears"
"309","Max Q","The Smiths"
"310","Max Q","Depeche Mode"
"311","Max Q","Donny Osmond"
"312","Max Q","Lipps, Inc."
"313","Max Q","Queen"
"314","Max Q","Talking Heads"
"315","Max Q","Toto"
"316","Max Q","A Certain Ratio"
"317","Max Q","Chicago"
"318","Max Q","David Bowie"
"319","Max Q","DJ Jazzy Jeff & The Fresh Prince"
"320","Tears for Fears","The Smiths"
"321","Tears for Fears","Depeche Mode"
"322","Tears for Fears","Donny Osmond"
"323","Tears for Fears","Lipps, Inc."
"324","Tears for Fears","Queen"
"325","Tears for Fears","Talking Heads"
"326","Tears for Fears","Toto"
"327","Tears for Fears","A Certain Ratio"
"328","Tears for Fears","Chicago"
"329","Tears for Fears","David Bowie"
"330","Tears for Fears","DJ Jazzy Jeff & The Fresh Prince"
"331","The Smiths","Depeche Mode"
"332","The Smiths","Donny Osmond"
"333","The Smiths","Lipps, Inc."
"334","The Smiths","Queen"
"335","The Smiths","Talking Heads"
"336","The Smiths","Toto"
"337","The Smiths","A Certain Ratio"
"338","The Smiths","Chicago"
"339","The Smiths","David Bowie"
"340","The Smiths","DJ Jazzy Jeff & The Fresh Prince"
"341","Depeche Mode","Donny Osmond"
"342","Depeche Mode","Lipps, Inc."
"343","Depeche Mode","Queen"
"344","Depeche Mode","Talking Heads"
"345","Depeche Mode","Toto"
"346","Depeche Mode","A Certain Ratio"
"347","Depeche Mode","Chicago"
"348","Depeche Mode","David Bowie"
"349","Depeche Mode","DJ Jazzy Jeff & The Fresh Prince"
"350","Donny Osmond","Lipps, Inc."
"351","Donny Osmond","Queen"
"352","Donny Osmond","Talking Heads"
"353","Donny Osmond","Toto"
"354","Donny Osmond","A Certain Ratio"
"355","Donny Osmond","Chicago"
"356","Donny Osmond","David Bowie"
"357","Donny Osmond","DJ Jazzy Jeff & The Fresh Prince"
"358","Lipps, Inc.","Queen"
"359","Lipps, Inc.","Talking Heads"
"360","Lipps, Inc.","Toto"
"361","Lipps, Inc.","A Certain Ratio"
"362","Lipps, Inc.","Chicago"
"363","Lipps, Inc.","David Bowie"
"364","Lipps, Inc.","DJ Jazzy Jeff & The Fresh Prince"
"365","Queen","Talking Heads"
"366","Queen","Toto"
"367","Queen","A Certain Ratio"
"368","Queen","Chicago"
"369","Queen","David Bowie"
"370","Queen","DJ Jazzy Jeff & The Fresh Prince"
"371","Talking Heads","Toto"
"372","Talking Heads","A Certain Ratio"
"373","Talking Heads","Chicago"
"374","Talking Heads","David Bowie"
"375","Talking Heads","DJ Jazzy Jeff & The Fresh Prince"
"376","Toto","A Certain Ratio"
"377","Toto","Chicago"
"378","Toto","David Bowie"
"379","Toto","DJ Jazzy Jeff & The Fresh Prince"
"380","A Certain Ratio","Chicago"
"381","A Certain Ratio","David Bowie"
"382","A Certain Ratio","DJ Jazzy Jeff & The Fresh Prince"
"383","Chicago","David Bowie"
"384","Chicago","DJ Jazzy Jeff & The Fresh Prince"
"385","David Bowie","DJ Jazzy Jeff & The Fresh Prince"
"386","Scatman John","Captain Jack"
"387","Scatman John","Haddaway"
"388","Scatman John","Collective Soul"
"389","Scatman John","Goo Goo Dolls"
"390","Scatman John","The Wallflowers"
"391","Scatman John","Nirvana"
"392","Scatman John","The Smashing Pumpkins"
"393","Captain Jack","Haddaway"
"394","Captain Jack","Collective Soul"
"395","Captain Jack","Goo Goo Dolls"
"396","Captain Jack","The Wallflowers"
"397","Captain Jack","Nirvana"
"398","Captain Jack","The Smashing Pumpkins"
"399","Haddaway","Collective Soul"
"400","Haddaway","Goo Goo Dolls"
"401","Haddaway","The Wallflowers"
"402","Haddaway","Nirvana"
"403","Haddaway","The Smashing Pumpkins"
"404","Collective Soul","Goo Goo Dolls"
"405","Collective Soul","The Wallflowers"
"406","Collective Soul","Nirvana"
"407","Collective Soul","The Smashing Pumpkins"
"408","Goo Goo Dolls","The Wallflowers"
"409","Goo Goo Dolls","Nirvana"
"410","Goo Goo Dolls","The Smashing Pumpkins"
"411","The Wallflowers","Nirvana"
"412","The Wallflowers","The Smashing Pumpkins"
"413","Nirvana","The Smashing Pumpkins"
"414","Light Club","M|O|O|N"
"415","Joshua Burnside","Julia Stone"
"416","Joshua Burnside","Laura Stevenson"
"417","Joshua Burnside","Gary Jules"
"418","Joshua Burnside","Mumford & Sons"
"419","Joshua Burnside","Simon & Garfunkel"
"420","Joshua Burnside","Yuna"
"421","Julia Stone","Laura Stevenson"
"422","Julia Stone","Gary Jules"
"423","Julia Stone","Mumford & Sons"
"424","Julia Stone","Simon & Garfunkel"
"425","Julia Stone","Yuna"
"426","Laura Stevenson","Gary Jules"
"427","Laura Stevenson","Mumford & Sons"
"428","Laura Stevenson","Simon & Garfunkel"
"429","Laura Stevenson","Yuna"
"430","Gary Jules","Mumford & Sons"
"431","Gary Jules","Simon & Garfunkel"
"432","Gary Jules","Yuna"
"433","Mumford & Sons","Simon & Garfunkel"
"434","Mumford & Sons","Yuna"
"435","Simon & Garfunkel","Yuna"
"436","Artie Shaw and His New Music","Eugene Ormandy"
"437","311","Cake"
"438","311","Dexter Freebish"
"439","311","Gorillaz"
"440","311","Pixies"
"441","311","Radiohead"
"442","311","Beware of Darkness"
"443","311","Björk"
"444","311","Blue October"
"445","311","David Byrne & St. Vincent"
"446","311","Eels"
"447","311","Electric Six"
"448","311","Gary Jules"
"449","311","Guster"
"450","311","Middle Class Rut"
"451","311","Mutemath"
"452","311","Nic Armstrong & The Thieves"
"453","311","The Dresden Dolls"
"454","311","The Smashing Pumpkins"
"455","311","The Wallflowers"
"456","311","Weezer"
"457","311","Zox"
"458","311","AWOLNATION"
"459","311","Band of Skulls"
"460","311","Brand New"
"461","311","Collective Soul"
"462","311","Dead Man's Bones"
"463","311","Deftones"
"464","311","Filter"
"465","311","Finger Eleven"
"466","311","Florence + the Machine"
"467","311","Goo Goo Dolls"
"468","311","IAMX"
"469","311","Jeff Buckley"
"470","311","Manchester Orchestra"
"471","311","Modest Mouse"
"472","311","Muse"
"473","311","My Chemical Romance"
"474","311","Nirvana"
"475","311","Phantom Planet"
"476","311","Primus"
"477","311","Santigold"
"478","311","Silversun Pickups"
"479","311","Spoon"
"480","311","The Bastard Fairies"
"481","311","The Dead Weather"
"482","311","The Raconteurs"
"483","311","Tindersticks"
"484","311","Torres"
"485","311","Ben Folds"
"486","311","Bent Knee"
"487","311","Born Ruffians"
"488","311","Buke and Gase"
"489","311","Carlos Jean"
"490","311","Dear and the Headlights"
"491","311","Don't Stop Or We'll Die"
"492","311","Foxy Shazam"
"493","311","Franz Ferdinand"
"494","311","Gogol Bordello"
"495","311","Green Day"
"496","311","Grouplove"
"497","311","Kasabian"
"498","311","Max Q"
"499","311","MGMT"
"500","311","Mr. Bungle"
"501","311","Nico Vega"
"502","311","Nine Inch Nails"
"503","311","OK Go"
"504","311","Soundgarden"
"505","311","Suede"
"506","311","Sufjan Stevens"
"507","311","The Black Heart Procession"
"508","311","The Bravery"
"509","311","The Kills"
"510","311","The Mars Volta"
"511","311","The Offspring"
"512","311","The Shins"
"513","311","The Strokes"
"514","311","The Vines"
"515","311","twenty one pilots"
"516","311","Two Door Cinema Club"
"517","311","Vampire Weekend"
"518","311","Vermillion Lies"
"519","311","Amanda Palmer"
"520","311","Arctic Monkeys"
"521","311","blink-182"
"522","311","Caesars"
"523","311","David Bowie"
"524","311","Evelyn Evelyn"
"525","311","Humanwine"
"526","311","Imogen Heap"
"527","311","Jets to Brazil"
"528","311","Kaiser Chiefs"
"529","311","Lana Del Rey"
"530","311","Les Claypool"
"531","311","Marilyn Manson"
"532","311","Metric"
"533","311","Mindless Self Indulgence"
"534","311","My Brightest Diamond"
"535","311","My Darkest Days"
"536","311","Reel Big Fish"
"537","311","Regina Spektor"
"538","311","Scissor Sisters"
"539","311","Speedy Ortiz"
"540","311","St. Vincent"
"541","311","Suzanne Vega"
"542","311","System of a Down"
"543","311","Talking Heads"
"544","311","Tegan and Sara"
"545","311","The Fratellis"
"546","311","The Hush Sound"
"547","311","The Smiths"
"548","311","Tom Waits"
"549","311","Unknown Mortal Orchestra"
"550","311","X Ambassadors"
"551","Cake","Dexter Freebish"
"552","Cake","Gorillaz"
"553","Cake","Pixies"
"554","Cake","Radiohead"
"555","Cake","Beware of Darkness"
"556","Cake","Björk"
"557","Cake","Blue October"
"558","Cake","David Byrne & St. Vincent"
"559","Cake","Eels"
"560","Cake","Electric Six"
"561","Cake","Gary Jules"
"562","Cake","Guster"
"563","Cake","Middle Class Rut"
"564","Cake","Mutemath"
"565","Cake","Nic Armstrong & The Thieves"
"566","Cake","The Dresden Dolls"
"567","Cake","The Smashing Pumpkins"
"568","Cake","The Wallflowers"
"569","Cake","Weezer"
"570","Cake","Zox"
"571","Cake","AWOLNATION"
"572","Cake","Band of Skulls"
"573","Cake","Brand New"
"574","Cake","Collective Soul"
"575","Cake","Dead Man's Bones"
"576","Cake","Deftones"
"577","Cake","Filter"
"578","Cake","Finger Eleven"
"579","Cake","Florence + the Machine"
"580","Cake","Goo Goo Dolls"
"581","Cake","IAMX"
"582","Cake","Jeff Buckley"
"583","Cake","Manchester Orchestra"
"584","Cake","Modest Mouse"
"585","Cake","Muse"
"586","Cake","My Chemical Romance"
"587","Cake","Nirvana"
"588","Cake","Phantom Planet"
"589","Cake","Primus"
"590","Cake","Santigold"
"591","Cake","Silversun Pickups"
"592","Cake","Spoon"
"593","Cake","The Bastard Fairies"
"594","Cake","The Dead Weather"
"595","Cake","The Raconteurs"
"596","Cake","Tindersticks"
"597","Cake","Torres"
"598","Cake","Ben Folds"
"599","Cake","Bent Knee"
"600","Cake","Born Ruffians"
"601","Cake","Buke and Gase"
"602","Cake","Carlos Jean"
"603","Cake","Dear and the Headlights"
"604","Cake","Don't Stop Or We'll Die"
"605","Cake","Foxy Shazam"
"606","Cake","Franz Ferdinand"
"607","Cake","Gogol Bordello"
"608","Cake","Green Day"
"609","Cake","Grouplove"
"610","Cake","Kasabian"
"611","Cake","Max Q"
"612","Cake","MGMT"
"613","Cake","Mr. Bungle"
"614","Cake","Nico Vega"
"615","Cake","Nine Inch Nails"
"616","Cake","OK Go"
"617","Cake","Soundgarden"
"618","Cake","Suede"
"619","Cake","Sufjan Stevens"
"620","Cake","The Black Heart Procession"
"621","Cake","The Bravery"
"622","Cake","The Kills"
"623","Cake","The Mars Volta"
"624","Cake","The Offspring"
"625","Cake","The Shins"
"626","Cake","The Strokes"
"627","Cake","The Vines"
"628","Cake","twenty one pilots"
"629","Cake","Two Door Cinema Club"
"630","Cake","Vampire Weekend"
"631","Cake","Vermillion Lies"
"632","Cake","Amanda Palmer"
"633","Cake","Arctic Monkeys"
"634","Cake","blink-182"
"635","Cake","Caesars"
"636","Cake","David Bowie"
"637","Cake","Evelyn Evelyn"
"638","Cake","Humanwine"
"639","Cake","Imogen Heap"
"640","Cake","Jets to Brazil"
"641","Cake","Kaiser Chiefs"
"642","Cake","Lana Del Rey"
"643","Cake","Les Claypool"
"644","Cake","Marilyn Manson"
"645","Cake","Metric"
"646","Cake","Mindless Self Indulgence"
"647","Cake","My Brightest Diamond"
"648","Cake","My Darkest Days"
"649","Cake","Reel Big Fish"
"650","Cake","Regina Spektor"
"651","Cake","Scissor Sisters"
"652","Cake","Speedy Ortiz"
"653","Cake","St. Vincent"
"654","Cake","Suzanne Vega"
"655","Cake","System of a Down"
"656","Cake","Talking Heads"
"657","Cake","Tegan and Sara"
"658","Cake","The Fratellis"
"659","Cake","The Hush Sound"
"660","Cake","The Smiths"
"661","Cake","Tom Waits"
"662","Cake","Unknown Mortal Orchestra"
"663","Cake","X Ambassadors"
"664","Dexter Freebish","Gorillaz"
"665","Dexter Freebish","Pixies"
"666","Dexter Freebish","Radiohead"
"667","Dexter Freebish","Beware of Darkness"
"668","Dexter Freebish","Björk"
"669","Dexter Freebish","Blue October"
"670","Dexter Freebish","David Byrne & St. Vincent"
"671","Dexter Freebish","Eels"
"672","Dexter Freebish","Electric Six"
"673","Dexter Freebish","Gary Jules"
"674","Dexter Freebish","Guster"
"675","Dexter Freebish","Middle Class Rut"
"676","Dexter Freebish","Mutemath"
"677","Dexter Freebish","Nic Armstrong & The Thieves"
"678","Dexter Freebish","The Dresden Dolls"
"679","Dexter Freebish","The Smashing Pumpkins"
"680","Dexter Freebish","The Wallflowers"
"681","Dexter Freebish","Weezer"
"682","Dexter Freebish","Zox"
"683","Dexter Freebish","AWOLNATION"
"684","Dexter Freebish","Band of Skulls"
"685","Dexter Freebish","Brand New"
"686","Dexter Freebish","Collective Soul"
"687","Dexter Freebish","Dead Man's Bones"
"688","Dexter Freebish","Deftones"
"689","Dexter Freebish","Filter"
"690","Dexter Freebish","Finger Eleven"
"691","Dexter Freebish","Florence + the Machine"
"692","Dexter Freebish","Goo Goo Dolls"
"693","Dexter Freebish","IAMX"
"694","Dexter Freebish","Jeff Buckley"
"695","Dexter Freebish","Manchester Orchestra"
"696","Dexter Freebish","Modest Mouse"
"697","Dexter Freebish","Muse"
"698","Dexter Freebish","My Chemical Romance"
"699","Dexter Freebish","Nirvana"
"700","Dexter Freebish","Phantom Planet"
"701","Dexter Freebish","Primus"
"702","Dexter Freebish","Santigold"
"703","Dexter Freebish","Silversun Pickups"
"704","Dexter Freebish","Spoon"
"705","Dexter Freebish","The Bastard Fairies"
"706","Dexter Freebish","The Dead Weather"
"707","Dexter Freebish","The Raconteurs"
"708","Dexter Freebish","Tindersticks"
"709","Dexter Freebish","Torres"
"710","Dexter Freebish","Ben Folds"
"711","Dexter Freebish","Bent Knee"
"712","Dexter Freebish","Born Ruffians"
"713","Dexter Freebish","Buke and Gase"
"714","Dexter Freebish","Carlos Jean"
"715","Dexter Freebish","Dear and the Headlights"
"716","Dexter Freebish","Don't Stop Or We'll Die"
"717","Dexter Freebish","Foxy Shazam"
"718","Dexter Freebish","Franz Ferdinand"
"719","Dexter Freebish","Gogol Bordello"
"720","Dexter Freebish","Green Day"
"721","Dexter Freebish","Grouplove"
"722","Dexter Freebish","Kasabian"
"723","Dexter Freebish","Max Q"
"724","Dexter Freebish","MGMT"
"725","Dexter Freebish","Mr. Bungle"
"726","Dexter Freebish","Nico Vega"
"727","Dexter Freebish","Nine Inch Nails"
"728","Dexter Freebish","OK Go"
"729","Dexter Freebish","Soundgarden"
"730","Dexter Freebish","Suede"
"731","Dexter Freebish","Sufjan Stevens"
"732","Dexter Freebish","The Black Heart Procession"
"733","Dexter Freebish","The Bravery"
"734","Dexter Freebish","The Kills"
"735","Dexter Freebish","The Mars Volta"
"736","Dexter Freebish","The Offspring"
"737","Dexter Freebish","The Shins"
"738","Dexter Freebish","The Strokes"
"739","Dexter Freebish","The Vines"
"740","Dexter Freebish","twenty one pilots"
"741","Dexter Freebish","Two Door Cinema Club"
"742","Dexter Freebish","Vampire Weekend"
"743","Dexter Freebish","Vermillion Lies"
"744","Dexter Freebish","Amanda Palmer"
"745","Dexter Freebish","Arctic Monkeys"
"746","Dexter Freebish","blink-182"
"747","Dexter Freebish","Caesars"
"748","Dexter Freebish","David Bowie"
"749","Dexter Freebish","Evelyn Evelyn"
"750","Dexter Freebish","Humanwine"
"751","Dexter Freebish","Imogen Heap"
"752","Dexter Freebish","Jets to Brazil"
"753","Dexter Freebish","Kaiser Chiefs"
"754","Dexter Freebish","Lana Del Rey"
"755","Dexter Freebish","Les Claypool"
"756","Dexter Freebish","Marilyn Manson"
"757","Dexter Freebish","Metric"
"758","Dexter Freebish","Mindless Self Indulgence"
"759","Dexter Freebish","My Brightest Diamond"
"760","Dexter Freebish","My Darkest Days"
"761","Dexter Freebish","Reel Big Fish"
"762","Dexter Freebish","Regina Spektor"
"763","Dexter Freebish","Scissor Sisters"
"764","Dexter Freebish","Speedy Ortiz"
"765","Dexter Freebish","St. Vincent"
"766","Dexter Freebish","Suzanne Vega"
